mirna,earlyOA24,earlyOA28,earlyOA29,earlyOA30,earlyOA31,earlyOA63,earlyOA64,earlyOA76,earlyOA78,earlyOA87,earlyOA100,earlyOA101,earlyOA103,earlyOA107,earlyOA115,earlyOA138,earlyOA156,earlyOA19,earlyOA88,earlyOA93,earlyOA150,earlyOA161,earlyOA46,earlyOA50,earlyOA112,earlyOA115W,earlyOA116,earlyOA121,earlyOA53R,earlyOA54R,earlyOA56R,earlyOA58R,earlyOA168,earlyOA102,earlyOA109,earlyOA124,earlyOA145,earlyOA149,earlyOA151,earlyOA77,earlyOA98,lateOA100,lateOA111,lateOA25,lateOA273,lateOA342,lateOA44,lateOA476,lateOA93,lateOA259,lateOA275,lateOA280,lateOA305,lateOA370,lateOA40,lateOA411,lateOA419,lateOA506,lateOA69,lateOA77,lateOA97,lateOA121,lateOA141,lateOA249,lateOA251,lateOA341,lateOA425,lateOA48,lateOA65,lateOA1009,lateOA1057R,lateOA105R,lateOA138R,lateOA316R,lateOA675,lateOA854,lateOA903,lateOA904,lateOA927,lateOA968,lateOA998,lateOA1033,lateOA1068,lateOA1140,lateOA748,lateOA754,lateOA779,lateOA784,lateOA825,lateOA875,lateOA929
hsa-miR-1912-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-191-3p,26,37,8,60,243,7,31,7,48,19,6,17,10,43,155,8,20,5,16,36,261,19,15,7,71,90,48,6,15,33,190,155,183,203,10,195,8,31,3,14,51,4,4,2,8,9,12,1,3,0,16,4,11,1,3,4,8,5,0,12,5,6,0,4,7,2,7,12,10,4,9,10,8,16,3,3,7,6,2,2,4,4,10,9,8,4,2,7,7,3,16
hsa-miR-1914-3p,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1914-5p,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1915-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1915-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-191-5p,15657,21057,10986,29657,61784,5711,16159,3194,10003,10445,9520,6914,5429,19244,52060,4625,12438,11431,7379,12547,69560,10726,8039,2071,5314,16777,8289,1152,7088,7383,76314,40129,81580,31097,1602,56328,4471,9189,1844,3762,5873,5447,2797,13138,7564,6361,6883,4146,1270,4239,16720,7003,3853,1429,6052,6218,7666,2348,4907,3067,3055,8190,4138,1860,1987,2825,12419,8329,23079,2201,5749,2822,6174,12081,12011,5616,5159,14285,1724,1490,8007,3904,3542,2874,7389,7577,1626,7217,6862,2911,6312
hsa-miR-192-3p,2,8,1,2,0,0,0,1,2,6,2,3,1,3,2,0,4,7,2,1,0,4,1,0,0,0,0,0,1,0,2,0,2,0,0,1,1,0,1,0,0,0,2,8,4,2,2,0,0,0,7,3,0,0,2,2,3,3,0,1,1,1,1,1,0,2,6,2,8,0,0,0,2,5,0,1,0,7,0,1,4,1,1,2,1,4,1,2,1,2,4
hsa-miR-192-5p,1615,2711,2164,1413,773,870,1093,642,1028,2152,2793,2078,1467,1584,1903,1840,2830,3730,2249,1656,1053,2308,1893,503,96,271,277,199,1409,1114,1618,1326,1633,450,150,473,222,216,620,325,125,1387,805,2953,4569,1925,1724,1255,364,1119,5290,3290,1038,1380,1460,2122,3047,1081,1466,1825,1153,2511,1533,921,1130,862,3705,1652,7164,1246,2665,976,3575,8795,3302,1709,1535,2138,532,685,1764,1989,1198,1087,2101,2641,708,2987,1668,1243,2177
hsa-miR-193a-3p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-193a-5p,168,191,175,83,138,71,128,43,127,225,300,183,75,147,226,150,348,195,242,156,110,267,172,23,53,66,60,29,237,110,201,178,113,140,85,95,32,47,38,136,49,95,80,138,1071,144,214,114,60,141,403,158,110,122,135,208,197,98,85,276,111,165,120,75,97,79,273,235,387,130,298,247,262,1004,124,118,74,176,91,42,120,123,74,160,222,165,97,189,76,59,169
hsa-miR-193b-3p,6,2,2,1,2,3,0,0,0,4,3,3,0,0,4,2,4,1,4,4,0,2,3,0,0,1,0,0,2,1,2,0,0,1,0,0,0,2,0,0,0,1,2,0,17,1,2,1,2,1,2,2,3,1,1,4,6,0,2,0,2,0,1,0,3,1,5,0,6,4,6,0,5,25,4,2,0,0,0,0,1,1,0,1,2,1,1,7,1,0,3
hsa-miR-193b-5p,25,18,21,15,21,10,11,7,14,25,58,17,3,8,17,18,52,17,39,20,11,17,20,4,3,5,14,5,36,22,20,21,7,12,18,6,5,7,3,44,7,7,10,11,105,24,19,6,18,15,69,6,12,16,18,17,17,9,15,22,6,22,16,2,23,10,46,21,55,16,52,11,43,134,24,12,6,15,3,7,13,15,7,26,16,19,9,22,8,5,17
hsa-miR-194-3p,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
hsa-miR-194-5p,1423,1980,1348,865,554,543,918,521,738,1439,2202,1339,900,1130,1266,1676,2294,3377,1679,1196,722,1542,1584,369,196,550,402,321,1516,979,1498,1116,1065,788,308,535,219,271,390,445,128,1016,465,2038,3455,1239,911,941,217,910,7096,1936,653,1045,825,1482,2412,611,951,1538,820,1989,1028,657,710,523,2729,1256,5965,1024,2043,532,2687,6106,1992,1179,988,1493,346,461,1286,1229,910,786,1402,1715,756,1954,903,938,1494
hsa-miR-195-3p,1,3,0,1,4,2,0,3,2,0,6,2,2,5,3,1,5,1,2,3,1,2,4,0,1,1,0,1,7,0,1,4,1,5,1,2,0,0,0,0,0,3,0,3,3,1,3,2,0,0,4,0,3,1,3,2,3,0,0,0,2,0,0,3,2,0,1,3,4,0,3,1,1,3,1,0,0,1,0,0,3,0,1,2,2,3,0,2,0,0,2
hsa-miR-195-5p,75,123,55,87,142,32,86,33,67,87,78,104,66,88,133,82,117,86,68,91,197,79,97,15,45,88,41,26,100,66,157,149,154,140,40,95,36,21,27,31,37,52,79,73,124,50,133,41,65,35,127,85,28,38,73,95,118,27,149,102,37,98,59,34,37,24,101,77,110,48,103,34,112,158,64,47,32,87,26,34,33,41,43,44,96,109,26,118,39,28,78
hsa-miR-196a-1-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-196a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-196a-5p,4,23,5,17,28,1,7,6,9,51,17,9,6,31,62,14,16,40,6,31,48,19,52,2,11,9,4,2,21,10,46,67,78,30,3,27,5,8,9,11,12,27,5,10,6,45,17,7,19,4,28,101,8,9,7,6,20,2,7,7,4,5,39,9,2,8,53,10,13,2,8,3,107,85,31,4,8,14,5,1,18,3,38,6,20,7,3,25,3,2,2
hsa-miR-196b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-196b-5p,145,358,291,378,315,55,150,73,240,282,522,288,281,471,584,207,457,506,354,274,957,943,380,279,337,514,191,96,250,267,879,719,932,1210,88,662,94,193,66,259,260,433,94,566,456,392,345,200,169,166,742,930,262,259,382,454,1070,36,175,299,217,421,687,153,217,296,621,355,1353,216,456,92,486,627,290,364,272,533,78,86,471,208,419,270,693,399,162,505,230,97,260
hsa-miR-1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-197-3p,560,495,319,918,2194,181,488,136,410,291,162,311,247,569,1289,272,287,227,239,393,1725,207,313,68,305,898,350,67,302,276,1765,1302,1220,536,124,1184,106,293,81,106,193,133,100,128,236,209,366,168,52,71,287,136,210,36,98,169,292,161,96,151,116,182,66,127,99,87,309,287,186,91,145,92,147,234,204,150,89,443,53,44,191,113,87,110,182,183,34,150,204,52,214
hsa-miR-197-5p,7,9,3,11,13,3,1,2,5,8,9,2,9,7,6,0,9,4,5,0,15,5,2,0,13,15,10,2,1,14,10,13,6,22,2,16,0,4,0,5,14,8,1,8,7,2,3,2,5,3,4,11,1,4,5,4,9,5,6,10,0,0,4,2,1,2,3,3,12,1,4,4,9,9,6,4,4,6,0,1,4,5,0,0,1,3,2,0,4,3,8
hsa-miR-1976,25,44,40,21,39,18,31,9,19,48,46,15,19,37,57,10,49,70,29,36,85,43,21,8,19,26,20,3,20,11,70,50,72,47,9,45,5,6,5,11,15,36,6,52,47,46,24,30,6,9,69,66,12,9,25,24,36,10,26,14,17,39,31,14,8,18,62,27,91,14,45,21,53,85,36,22,13,43,8,11,49,21,26,25,41,38,12,39,21,17,41
hsa-miR-198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-199a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-199a-5p,264,360,68,531,1532,42,328,53,197,177,74,170,79,346,1139,77,89,35,62,247,2815,49,102,20,832,810,480,41,123,103,2359,2129,2869,1180,145,866,78,372,31,146,97,27,34,28,51,59,72,28,15,19,51,42,98,8,24,33,97,21,37,22,29,67,20,13,14,16,108,70,55,30,54,43,72,51,50,28,18,40,17,9,29,17,16,26,67,46,0,38,22,18,110
hsa-miR-199b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-199b-5p,9,53,25,34,39,17,18,4,8,8,9,30,10,30,37,17,18,14,11,13,77,12,21,4,19,19,16,6,31,4,76,56,75,54,8,48,5,10,4,3,2,13,17,19,13,11,54,7,5,4,28,14,3,4,5,14,21,6,27,7,15,23,1,16,5,4,42,27,60,10,14,5,30,27,13,14,3,37,11,6,20,7,6,5,26,15,4,13,19,4,19
hsa-miR-19a-3p,849,1414,928,1009,1590,320,824,244,611,1146,665,623,691,855,1257,611,588,1409,808,873,1357,1093,432,256,191,333,290,58,309,277,1379,1137,1341,595,48,680,75,180,54,101,142,470,209,1030,1157,595,693,444,108,308,998,1173,304,567,371,681,1437,225,349,499,341,1300,515,379,291,308,1684,469,2797,379,1039,422,1266,1028,1124,447,619,1480,193,364,767,559,441,491,1019,629,297,824,559,391,744
hsa-miR-19a-5p,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
hsa-miR-19b-1-5p,2,3,2,4,17,3,4,1,3,2,4,4,1,5,12,3,5,2,3,6,24,2,1,0,2,3,3,1,0,4,23,16,29,2,1,7,3,5,0,2,1,0,1,1,3,5,2,2,0,5,1,4,3,3,0,2,5,1,2,1,0,1,0,4,0,0,2,4,7,0,3,3,1,2,5,0,1,8,1,0,5,1,1,3,4,4,0,1,4,0,3
hsa-miR-19b-2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-19b-3p,3023,5283,3367,3486,5714,1348,3163,883,2123,3506,2393,2226,2210,3225,4005,2240,2649,4919,2465,2978,4274,4255,1939,924,712,1277,920,256,1235,1127,5096,3454,4451,2363,177,2485,333,619,245,363,529,1979,896,5005,4396,2263,2413,1745,442,1115,4095,4469,1147,2083,1487,2395,5168,777,1343,1913,1128,4484,2632,1242,953,1229,5908,1937,10766,1564,3437,1713,3973,4296,4075,1883,2452,5422,961,1118,2817,2099,1660,1900,3638,2450,1161,3192,2239,1603,3037
hsa-miR-200a-3p,59,81,31,59,134,16,77,29,66,43,30,75,32,104,140,138,90,110,41,67,177,27,77,6,21,56,16,9,33,29,134,109,165,83,11,101,12,20,28,8,14,39,23,31,72,36,44,88,9,22,647,46,32,22,8,57,43,51,47,48,58,53,7,14,25,31,96,48,72,16,33,25,147,214,75,34,19,52,17,15,37,19,13,13,30,67,17,101,33,37,52
hsa-miR-200a-5p,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,3,0,5,0,2,4,0,0,3,1,1,0,0,1,2,2,1,1,2,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,0,7,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,3,0,1,3,0,0
hsa-miR-200b-3p,47,74,16,56,112,11,43,25,75,45,31,102,21,116,105,132,114,109,47,51,112,33,36,1,16,18,14,2,32,10,76,60,101,51,5,93,6,9,8,10,13,22,10,19,35,22,31,39,2,32,650,28,21,12,11,50,36,36,21,25,33,34,15,6,25,15,40,36,63,11,47,17,109,168,45,19,29,22,11,11,22,20,20,18,26,48,5,71,45,16,36
hsa-miR-200b-5p,2,2,1,6,3,0,4,4,0,0,2,3,1,5,3,3,7,9,1,6,5,1,2,1,2,3,3,1,3,1,5,1,7,4,0,14,1,0,3,2,2,2,3,1,0,0,2,4,0,3,8,1,2,0,2,6,5,0,0,5,1,2,0,2,0,1,2,1,5,0,3,0,4,6,3,3,0,1,3,0,2,3,2,1,3,2,0,5,1,2,1
hsa-miR-200c-3p,141,153,32,167,445,19,105,52,144,101,76,130,46,228,455,157,157,141,69,104,712,100,57,14,55,84,61,9,64,75,523,377,624,222,11,433,36,117,25,28,67,58,27,36,41,43,54,51,13,45,712,92,40,31,31,60,58,43,57,39,52,46,27,15,36,26,73,78,79,21,61,49,144,89,69,30,33,49,20,17,59,31,20,38,51,64,16,116,30,51,61
hsa-miR-200c-5p,0,1,0,0,0,0,0,0,1,1,0,2,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
hsa-miR-202-3p,2,1,2,1,0,2,0,1,0,6,1,2,3,3,1,2,1,1,3,1,0,3,0,1,0,0,2,2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,3,1,2,5,0,0,0,1,0,1,0,2,0,1,0,0,0,2,1,0,1,0,1,0,0,1
hsa-miR-202-5p,5,15,5,1,0,0,0,2,2,11,7,5,8,7,4,3,8,14,8,6,0,11,1,1,0,0,1,1,2,1,2,1,3,0,0,1,0,0,0,1,0,0,0,5,3,3,4,0,1,2,9,8,0,3,2,2,2,1,2,4,1,2,1,4,1,1,7,1,5,2,4,4,8,9,4,1,4,4,0,1,0,1,4,3,2,9,1,7,2,3,2
hsa-miR-203a-3p,4,7,6,4,5,0,4,6,2,6,5,11,4,7,11,4,10,11,2,5,15,3,5,0,1,7,2,0,3,3,7,11,42,3,0,7,0,0,3,6,4,5,3,13,16,3,5,4,0,12,18,7,1,2,1,7,9,7,14,14,5,9,3,4,3,5,8,1,11,1,12,3,7,21,3,11,4,4,0,4,1,0,1,3,3,2,1,8,1,2,1
hsa-miR-203a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-203b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-203b-5p,1,2,0,1,1,0,1,0,0,1,2,3,1,4,3,1,3,3,1,1,10,0,0,0,0,2,0,0,1,1,3,0,17,0,0,0,0,0,1,5,1,1,1,2,1,0,2,0,0,1,3,2,0,0,1,1,1,1,5,2,1,2,1,0,0,1,1,1,2,1,5,1,2,3,1,3,1,2,0,1,1,0,0,1,0,1,0,2,0,0,0
hsa-miR-204-3p,0,2,2,1,3,0,3,0,1,1,0,3,0,1,4,1,0,0,2,2,6,1,4,0,2,1,0,0,2,1,4,2,0,3,3,5,0,2,1,2,2,1,0,0,0,0,5,2,0,0,4,3,0,0,0,1,2,0,2,2,0,5,1,0,0,0,1,1,3,0,2,0,2,0,4,0,0,1,3,0,0,0,1,0,1,3,0,3,0,0,0
hsa-miR-204-5p,11,14,2,12,12,4,5,8,2,12,5,9,9,18,31,5,11,3,6,13,26,9,31,1,1,10,6,3,20,4,65,9,11,3,2,22,9,8,4,6,2,7,8,4,6,8,16,3,4,11,15,6,4,1,4,10,7,5,30,10,7,5,0,5,5,2,13,6,13,6,6,5,18,24,5,4,3,10,5,0,7,0,1,6,11,17,2,6,3,6,7
hsa-miR-2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-205-3p,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-205-5p,55,375,58,95,51,61,89,90,87,184,110,243,120,153,760,247,249,141,147,56,77,140,241,36,11,39,27,27,64,37,210,151,68,31,32,21,19,27,67,7,5,106,67,114,152,81,341,65,12,127,898,83,57,44,57,124,129,125,113,93,78,115,22,37,65,42,132,103,165,35,107,61,169,141,78,68,17,146,19,19,43,34,45,54,126,121,35,170,38,33,45
hsa-miR-206,44,241,10,16,153,38,46,13,13,579,28,220,12,58,20,61,112,62,80,17,22,96,47,3,6,18,14,90,118,66,66,116,27,82,5,173,7,32,21,4,16,117,31,96,181,185,172,46,18,69,94,26,86,23,86,40,197,61,6,33,6,182,20,18,16,90,714,288,286,200,129,239,296,243,41,27,19,211,271,31,138,43,42,129,226,282,0,384,31,72,98
hsa-miR-208a-3p,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,4,0,0,0,0,0,0,2,0,0,3,1,1,0,0,1,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0
hsa-miR-208a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hsa-miR-208b-3p,2,4,2,1,9,0,4,0,0,15,1,12,2,1,0,2,1,3,20,0,1,1,1,0,0,1,1,6,5,2,9,23,4,1,0,4,0,3,2,0,0,2,1,1,6,5,5,3,0,0,12,2,4,2,0,0,13,3,0,1,0,11,0,2,0,1,36,3,16,9,7,9,5,8,3,1,1,9,11,1,8,0,0,1,5,8,2,16,0,2,2
hsa-miR-208b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-20a-3p,12,28,12,22,28,2,11,1,5,10,6,10,2,25,43,8,8,13,7,6,75,8,7,0,4,7,2,1,3,4,47,60,102,6,0,10,3,1,2,1,1,2,7,7,3,5,4,4,4,3,7,4,3,1,2,3,7,0,3,4,3,11,0,2,1,0,17,3,17,0,6,5,7,7,8,5,3,17,3,0,6,0,1,0,3,8,0,4,5,3,4
hsa-miR-20a-5p,3297,5274,4074,4305,9123,1332,3208,1059,2679,4363,2557,3045,3379,4492,7034,2884,3478,6807,3035,3886,10496,3865,2267,1599,2570,3892,2531,647,1430,1772,11434,9146,12697,9568,539,9181,515,1212,461,552,1248,3304,1237,4697,4754,3198,3556,2686,846,1441,4905,8608,2356,1494,1804,3483,7287,1339,1851,3068,2053,4760,2151,1762,1550,1864,7543,2997,11451,1312,4229,1267,4979,3754,4803,2080,2167,7379,760,1116,2746,2297,1722,1476,3900,2443,388,3237,2418,1492,4115
hsa-miR-20b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-20b-5p,398,706,753,476,509,207,518,134,341,751,482,369,386,522,519,340,543,1173,504,503,667,922,311,229,146,140,189,77,247,260,858,526,965,587,52,934,53,62,48,16,59,457,171,932,889,513,532,370,116,307,1048,1341,309,282,380,397,1155,97,275,484,305,942,554,202,251,283,1171,460,2293,241,798,245,820,649,1100,404,460,1552,156,219,392,599,359,291,694,549,96,465,474,296,782
