mirna,GSM4654614_P1,GSM4654615_P2,GSM4654616_P3,GSM4654617_P4,GSM4654618_P5,GSM4654619_P6,GSM4654620_N1,GSM4654621_N2,GSM4654622_N3
hsa-miR-888-5p,0,0,0,0,0,0,0,0,0
hsa-miR-889-3p,51,72,91,64,206,15,3,18,43
hsa-miR-889-5p,0,0,0,0,0,0,0,0,0
hsa-miR-890,0,0,0,0,0,0,0,0,0
hsa-miR-891a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-891a-5p,0,0,0,0,1,0,0,0,6
hsa-miR-891b,0,0,0,0,0,0,0,0,0
hsa-miR-892a,0,0,0,1,0,0,0,0,0
hsa-miR-892b,0,0,0,0,0,0,0,0,0
hsa-miR-892c-3p,0,0,0,0,0,0,0,0,0
hsa-miR-892c-5p,0,0,0,0,0,0,0,0,0
hsa-miR-920,0,0,0,0,0,0,0,0,0
hsa-miR-921,0,0,0,0,0,0,0,0,0
hsa-miR-922,0,0,0,0,0,0,0,0,0
hsa-miR-924,0,0,0,0,0,0,0,0,0
hsa-miR-933,0,4,0,0,6,0,2,1,2
hsa-miR-934,0,0,0,0,0,0,0,0,0
hsa-miR-935,0,0,0,1,0,0,0,0,0
hsa-miR-936,0,0,0,0,0,0,0,0,0
hsa-miR-937-3p,9,8,12,8,0,7,13,9,15
hsa-miR-937-5p,3,0,0,0,0,0,0,0,0
hsa-miR-938,0,0,0,0,0,0,0,0,0
hsa-miR-939-3p,0,0,0,0,0,0,0,0,0
hsa-miR-939-5p,55,63,106,26,21,108,99,54,68
hsa-miR-940,0,0,0,0,2,1,0,0,0
hsa-miR-941,1159,1062,1228,931,810,2222,1686,1168,1664
hsa-miR-942-3p,8,4,10,1,2,3,5,1,1
hsa-miR-942-5p,154,103,249,52,83,242,105,93,126
hsa-miR-943,1,2,8,2,0,7,2,1,0
hsa-miR-944,1,0,0,0,3,0,0,0,0
hsa-miR-1178-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1178-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1179,0,0,0,0,0,0,0,0,0
hsa-miR-1180-3p,605,1244,1263,221,209,1867,1701,883,1036
hsa-miR-1180-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1181,0,0,0,0,0,0,0,0,0
hsa-miR-1182,0,0,0,0,0,0,0,0,0
hsa-miR-1183,0,0,0,0,0,0,0,0,0
hsa-miR-1184,0,0,0,0,0,0,0,0,0
hsa-miR-1185-1-3p,8,5,7,5,23,3,0,7,5
hsa-miR-1185-2-3p,6,0,1,1,3,0,0,0,0
hsa-miR-1185-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1193,0,0,0,0,0,0,0,0,0
hsa-miR-1197,0,0,0,3,4,0,0,0,0
hsa-miR-1199-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1199-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1200,0,0,0,0,0,0,0,0,0
hsa-miR-1202,0,0,0,0,0,0,0,0,0
hsa-miR-1203,0,0,0,0,0,0,0,0,0
hsa-miR-1204,0,0,0,0,0,0,0,0,0
hsa-miR-1205,0,0,0,0,0,0,0,0,0
hsa-miR-1206,0,0,0,0,0,0,0,0,0
hsa-miR-1207-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1207-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1208,0,0,0,0,0,0,0,0,0
hsa-miR-1224-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1224-5p,29,47,154,16,5,66,48,18,59
hsa-miR-1225-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1225-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1226-3p,0,2,0,0,0,14,0,0,0
hsa-miR-1226-5p,0,0,0,0,0,0,0,4,6
hsa-miR-1227-3p,2,0,7,1,3,10,4,2,12
hsa-miR-1227-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1228-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1228-5p,18,28,100,4,6,82,71,88,105
hsa-miR-1229-3p,1,0,0,3,1,0,0,6,1
hsa-miR-1229-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1231,0,0,0,0,0,0,0,0,0
hsa-miR-1233-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1233-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1234-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1236-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1236-5p,0,2,1,0,0,2,0,0,8
hsa-miR-1237-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1237-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1238-3p,0,2,0,1,0,9,13,4,1
hsa-miR-1238-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1243,0,0,0,0,0,0,0,0,0
hsa-miR-1244,0,0,0,0,0,0,0,0,0
hsa-miR-1245a,0,0,0,0,0,0,0,0,0
hsa-miR-1245b-3p,0,9,0,0,0,0,0,0,0
hsa-miR-1245b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1246,63,348,466,31,69,1410,201,219,199
hsa-miR-1247-3p,0,5,0,1,0,3,0,2,2
hsa-miR-1247-5p,0,1,0,0,0,0,0,0,0
hsa-miR-1248,0,2,0,0,0,2,0,0,0
hsa-miR-1249,0,0,0,0,4,0,0,0,0
hsa-miR-1250-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1250-5p,15,4,0,4,10,0,0,4,2
hsa-miR-1251-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1251-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1252-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1252-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1253,0,0,0,0,0,0,0,0,0
hsa-miR-1254,0,2,12,2,3,8,8,2,2
hsa-miR-1255a,27,0,4,15,14,15,10,15,8
hsa-miR-1255b-2-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1255b-5p,81,157,247,38,32,221,243,128,255
hsa-miR-1256,0,0,0,0,0,0,0,0,0
hsa-miR-1257,0,0,0,0,0,0,0,0,0
hsa-miR-1258,0,2,0,0,2,0,0,0,0
hsa-miR-1260a,3,0,0,0,2,0,6,0,5
hsa-miR-1260b,0,1,0,0,1,0,0,0,0
hsa-miR-1261,0,0,0,0,0,0,0,0,0
hsa-miR-1262,1,12,4,0,0,5,1,18,0
hsa-miR-1263,0,0,0,0,0,0,0,0,0
hsa-miR-1264,0,0,0,0,0,0,0,0,0
hsa-miR-1265,0,0,0,0,0,0,0,0,0
hsa-miR-1266-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1266-5p,1,0,0,0,0,1,0,0,0
hsa-miR-1267,0,0,0,0,0,0,0,0,0
hsa-miR-1268a,0,0,0,0,0,0,0,0,0
hsa-miR-1268b,1,0,4,0,0,0,0,0,0
hsa-miR-1269a,1,0,0,0,0,0,0,1,0
hsa-miR-1269b,0,0,0,0,0,0,0,0,0
hsa-miR-1270,5,5,14,2,5,4,6,2,13
hsa-miR-1271-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1271-5p,6,18,9,13,8,0,8,11,1
hsa-miR-1272,0,0,0,0,0,0,0,0,0
hsa-miR-1273a,0,0,0,0,0,0,0,0,0
hsa-miR-1273c,1,0,7,0,3,0,0,1,2
hsa-miR-1273d,1,4,0,1,1,0,0,0,0
hsa-miR-1273e,0,0,0,0,0,0,0,0,0
hsa-miR-1273f,0,0,0,0,0,0,0,0,0
hsa-miR-1273g-3p,0,0,1,0,0,0,0,0,2
hsa-miR-1273g-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1273h-3p,183,42,57,95,116,25,25,39,60
hsa-miR-1273h-5p,3,0,6,1,0,11,1,2,7
hsa-miR-1275,0,0,0,0,0,0,0,0,0
hsa-miR-1276,2,0,0,1,1,5,0,0,2
hsa-miR-1277-3p,4,0,5,1,9,0,0,0,6
hsa-miR-1277-5p,0,0,0,9,17,0,2,0,0
hsa-miR-1278,21,6,55,14,11,6,13,3,15
hsa-miR-1279,0,0,0,0,0,0,0,0,0
hsa-miR-1281,0,0,0,0,0,0,0,0,0
hsa-miR-1282,0,0,0,0,0,0,0,0,0
hsa-miR-1283,0,0,0,0,0,0,0,0,0
hsa-miR-1284,15,13,30,8,9,25,23,25,31
hsa-miR-1285-3p,41,102,188,22,39,127,92,50,64
hsa-miR-1285-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1286,0,0,0,0,0,0,0,0,0
hsa-miR-1287-3p,0,0,0,0,1,0,0,0,0
hsa-miR-1287-5p,33,19,11,12,42,13,8,4,12
hsa-miR-1288-3p,8,7,8,3,8,6,4,6,4
hsa-miR-1288-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1289,5,0,3,0,0,0,5,1,0
hsa-miR-1290,0,0,1,0,0,0,0,0,0
hsa-miR-1291,5,6,1,1,2,21,6,1,0
hsa-miR-1292-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1292-5p,91,78,122,27,46,152,71,45,91
hsa-miR-1293,0,0,0,0,0,0,0,4,0
hsa-miR-1294,55,64,100,27,23,79,100,43,30
hsa-miR-1295a,0,0,0,0,0,8,2,0,0
hsa-miR-1295b-3p,0,0,0,0,0,0,0,0,2
hsa-miR-1295b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1296-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1296-5p,25,3,3,5,15,5,0,0,0
hsa-miR-1297,0,1,0,0,0,0,0,0,0
hsa-miR-1298-3p,0,0,0,1,0,0,0,0,0
hsa-miR-1298-5p,0,3,0,2,1,0,0,0,0
hsa-miR-1299,159,119,59,27,738,89,36,57,72
hsa-miR-1301-3p,970,158,285,490,536,182,163,282,396
hsa-miR-1301-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1302,0,0,0,0,0,0,0,0,0
hsa-miR-1303,1,2,29,6,5,35,29,22,1
hsa-miR-1304-3p,97,23,23,46,39,27,17,25,38
hsa-miR-1304-5p,6,16,14,1,6,22,13,5,1
hsa-miR-1305,0,0,0,0,0,0,0,0,0
hsa-miR-1306-3p,27,19,55,5,12,25,25,11,25
hsa-miR-1306-5p,6,0,2,1,3,4,5,8,6
hsa-miR-1307-3p,7291,3234,3994,3696,3766,3640,2632,3321,4114
hsa-miR-1307-5p,113,122,287,56,73,120,104,113,157
hsa-miR-1321,0,0,0,0,0,0,0,0,0
hsa-miR-1322,0,0,0,0,0,0,0,0,0
hsa-miR-1323,0,0,4,1,0,0,7,1,2
hsa-miR-1324,0,0,0,0,0,0,0,0,0
hsa-miR-1343-3p,4,8,3,11,0,10,4,19,13
hsa-miR-1343-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1468-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1468-5p,60,77,62,29,24,107,62,46,50
hsa-miR-1469,0,0,0,0,0,0,0,0,0
hsa-miR-1470,0,0,0,0,0,0,0,0,0
hsa-miR-1471,0,0,0,0,0,0,0,0,0
hsa-miR-1537-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1537-5p,0,0,0,0,2,0,0,0,0
hsa-miR-1538,9,4,13,7,5,3,5,1,5
hsa-miR-1539,0,0,0,0,0,0,0,0,0
hsa-miR-1587,0,0,0,0,0,0,0,0,0
hsa-miR-1825,0,0,0,0,0,0,0,0,0
hsa-miR-1827,0,0,0,0,1,0,0,0,0
hsa-miR-1908-3p,0,0,0,0,0,0,1,0,0
hsa-miR-1908-5p,340,73,129,154,175,144,152,143,172
hsa-miR-1909-3p,0,0,0,1,0,0,0,0,0
hsa-miR-1909-5p,3,6,0,0,0,0,0,2,0
hsa-miR-1910-3p,0,0,2,0,0,0,0,6,0
hsa-miR-1910-5p,0,0,0,0,0,0,0,5,1
hsa-miR-1911-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1911-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1912,0,0,0,0,0,0,0,0,0
hsa-miR-1913,0,0,0,0,0,0,0,0,0
hsa-miR-1914-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1914-5p,1,0,0,0,4,0,0,4,0
hsa-miR-1915-3p,0,0,0,0,0,0,0,0,0
hsa-miR-1915-5p,0,0,0,0,0,0,0,0,0
hsa-miR-1972,0,0,0,0,0,0,0,0,0
hsa-miR-1973,0,0,0,0,0,0,0,0,0
hsa-miR-1976,40,39,30,5,7,67,34,29,33
hsa-miR-2052,0,0,0,0,0,0,0,0,0
hsa-miR-2053,0,0,0,0,0,0,0,0,0
hsa-miR-2054,0,0,0,0,0,0,0,0,0
hsa-miR-2110,764,1445,1577,315,284,1650,1324,924,821
hsa-miR-2113,0,0,0,0,0,0,0,0,0
hsa-miR-2114-3p,0,0,0,0,0,0,0,0,0
hsa-miR-2114-5p,0,0,0,0,0,0,0,0,0
hsa-miR-2115-3p,2,0,0,1,0,14,3,7,7
hsa-miR-2115-5p,3,8,17,0,0,19,14,3,12
hsa-miR-2116-3p,0,0,0,0,0,0,0,0,5
hsa-miR-2116-5p,0,0,0,0,0,0,0,0,0
hsa-miR-2117,0,0,0,0,0,0,0,0,0
hsa-miR-2276-3p,0,7,2,1,1,0,2,3,0
hsa-miR-2276-5p,0,0,0,0,0,0,0,0,0
hsa-miR-2277-3p,0,0,0,0,0,0,1,0,0
hsa-miR-2277-5p,5,0,7,3,4,3,0,0,8
hsa-miR-2278,0,0,1,0,1,0,0,0,3
hsa-miR-2355-3p,41,8,14,19,28,8,0,3,9
hsa-miR-2355-5p,0,0,0,0,0,0,0,0,0
hsa-miR-2392,0,0,0,0,0,0,0,0,0
hsa-miR-2467-3p,0,1,3,0,0,0,0,0,0
hsa-miR-2467-5p,3,0,0,0,0,0,0,0,0
hsa-miR-2681-3p,0,0,0,0,0,0,0,0,0
hsa-miR-2681-5p,0,2,0,0,0,0,0,4,0
hsa-miR-2682-3p,0,0,0,0,0,0,0,0,0
hsa-miR-2682-5p,0,0,0,0,0,0,0,0,0
hsa-miR-2861,0,0,0,0,0,0,0,0,0
hsa-miR-2909,0,0,0,0,0,0,0,0,0
hsa-miR-3064-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3064-5p,17,14,0,4,13,9,3,8,7
hsa-miR-3065-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3065-5p,0,0,0,1,0,0,0,0,3
hsa-miR-3074-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3074-5p,5,3,1,4,1,1,6,0,0
hsa-miR-3115,0,0,0,0,0,7,0,0,0
hsa-miR-3116,0,0,0,1,0,0,0,0,0
hsa-miR-3117-3p,0,0,0,0,2,0,1,0,0
hsa-miR-3117-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3118,0,0,0,0,0,0,0,0,0
hsa-miR-3119,0,0,0,0,0,0,0,0,0
hsa-miR-3120-3p,40,11,14,40,56,7,10,9,1
hsa-miR-3120-5p,48,12,8,28,20,6,0,7,3
hsa-miR-3121-3p,3,5,0,2,4,9,0,5,2
hsa-miR-3121-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3122,0,3,6,0,0,0,0,0,1
hsa-miR-3123,0,0,0,0,0,0,0,0,0
hsa-miR-3124-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3124-5p,1,8,0,6,2,25,7,9,23
hsa-miR-3125,0,0,7,1,0,10,1,0,0
hsa-miR-3126-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3126-5p,1,2,0,0,0,0,0,0,0
hsa-miR-3127-3p,10,0,3,2,3,0,0,10,6
hsa-miR-3127-5p,8,12,28,3,2,18,12,7,18
hsa-miR-3128,1,1,0,3,0,0,0,0,0
hsa-miR-3129-3p,0,0,3,0,0,0,0,0,0
hsa-miR-3129-5p,0,0,1,0,0,0,0,0,0
hsa-miR-3130-3p,0,0,14,0,1,0,0,0,0
hsa-miR-3130-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3131,0,0,0,0,0,0,6,1,1
hsa-miR-3132,0,0,0,0,0,0,0,0,0
hsa-miR-3133,0,0,0,0,0,0,0,0,0
hsa-miR-3134,0,0,0,0,0,0,0,0,0
hsa-miR-3135a,6,21,20,4,6,9,15,8,5
hsa-miR-3135b,0,0,0,0,0,0,0,0,0
hsa-miR-3136-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3136-5p,0,0,1,0,0,0,0,0,0
hsa-miR-3137,0,1,2,0,0,1,0,0,0
hsa-miR-3138,93,23,41,39,27,17,14,1,25
hsa-miR-3139,0,0,0,0,0,0,0,0,0
hsa-miR-3140-3p,0,14,0,0,2,0,8,0,0
hsa-miR-3140-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3141,0,0,0,0,0,0,0,0,0
hsa-miR-3142,0,0,0,0,0,0,0,0,0
hsa-miR-3143,0,1,15,0,5,0,5,0,14
hsa-miR-3144-3p,1,0,0,0,0,0,0,0,0
hsa-miR-3144-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3145-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3145-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3146,1,4,6,0,1,0,1,0,0
hsa-miR-3147,0,0,0,0,0,0,0,0,0
hsa-miR-3148,0,0,0,0,0,0,0,0,0
hsa-miR-3149,0,0,0,1,0,4,4,9,10
hsa-miR-3150a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3150a-5p,9,7,5,3,4,5,8,10,10
hsa-miR-3150b-3p,4,4,11,1,1,1,6,2,3
hsa-miR-3150b-5p,0,0,0,0,0,0,3,0,4
hsa-miR-3151-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3151-5p,0,0,0,0,0,4,0,0,0
hsa-miR-3152-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3152-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3153,0,0,0,0,0,0,0,0,0
hsa-miR-3154,1,0,6,1,2,0,0,0,0
hsa-miR-3155a,0,0,0,0,0,0,1,0,0
hsa-miR-3155b,0,0,0,0,0,0,0,0,0
hsa-miR-3156-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3156-5p,0,0,0,2,0,0,0,0,0
hsa-miR-3157-3p,4,10,6,2,3,16,13,15,8
hsa-miR-3157-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3158-3p,1290,1601,2084,270,377,2813,2379,1405,1687
hsa-miR-3158-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3159,0,0,0,0,0,0,0,0,0
hsa-miR-3160-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3160-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3161,0,0,0,0,3,0,0,0,0
hsa-miR-3162-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3162-5p,0,0,0,0,2,0,0,0,0
hsa-miR-3163,5,7,7,0,3,6,15,5,9
hsa-miR-3164,11,0,38,5,9,13,23,0,4
hsa-miR-3165,0,0,0,0,0,0,0,0,0
hsa-miR-3166,0,0,0,0,0,0,0,0,0
hsa-miR-3167,0,0,0,0,0,0,0,0,0
hsa-miR-3168,0,0,0,0,0,0,0,1,0
hsa-miR-3169,0,0,0,0,0,0,0,0,0
hsa-miR-3170,0,0,0,0,0,0,0,0,0
hsa-miR-3171,0,0,0,0,0,0,0,0,0
hsa-miR-3173-3p,0,0,3,2,1,0,14,0,0
hsa-miR-3173-5p,4,11,9,10,3,18,8,19,9
hsa-miR-3174,3,0,5,11,5,1,0,0,0
hsa-miR-3175,2,3,1,1,2,5,0,0,4
hsa-miR-3176,11,12,14,1,3,16,19,8,15
hsa-miR-3177-3p,106,68,60,43,62,58,23,31,47
hsa-miR-3177-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3178,0,0,0,0,0,0,0,0,0
hsa-miR-3179,2,4,5,2,4,3,13,1,6
hsa-miR-3180,0,0,0,0,0,0,0,0,0
hsa-miR-3180-3p,3,5,1,1,1,7,2,3,2
hsa-miR-3180-5p,0,1,0,0,0,1,0,0,0
hsa-miR-3181,0,0,0,0,0,0,0,0,0
hsa-miR-3182,0,0,0,0,1,0,0,0,0
hsa-miR-3183,0,0,0,0,1,0,0,0,0
hsa-miR-3184-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3184-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3185,0,0,0,0,0,0,0,0,0
hsa-miR-3186-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3186-5p,0,0,0,1,0,0,0,0,0
hsa-miR-3187-3p,3,3,22,1,1,7,7,3,2
hsa-miR-3187-5p,3,0,0,0,0,0,3,0,1
hsa-miR-3188,8,0,0,6,11,4,1,1,1
hsa-miR-3189-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3189-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3190-3p,8,0,7,6,9,9,4,5,0
hsa-miR-3190-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3191-3p,23,8,7,5,10,6,0,6,6
hsa-miR-3191-5p,1,0,0,0,0,0,0,0,0
hsa-miR-3192-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3192-5p,1,2,0,0,0,3,1,0,0
hsa-miR-3193,1,0,0,0,0,0,0,0,0
hsa-miR-3194-3p,1,1,5,0,0,0,2,0,0
hsa-miR-3194-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3195,3,1,0,3,0,2,0,0,1
hsa-miR-3196,0,0,0,0,0,0,0,0,0
hsa-miR-3197,0,0,0,0,0,0,0,0,0
hsa-miR-3198,9,10,8,2,4,0,6,4,10
hsa-miR-3199,2,0,3,1,0,5,0,2,0
hsa-miR-3200-3p,3,5,13,4,3,14,3,0,9
hsa-miR-3200-5p,1,0,27,0,2,0,5,4,6
hsa-miR-3201,0,0,0,0,0,0,0,0,0
hsa-miR-3202,0,0,10,0,0,1,0,1,0
hsa-miR-3529-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3529-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3591-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3591-5p,1,0,0,0,0,0,9,0,3
hsa-miR-3605-3p,24,33,75,18,9,81,48,65,93
hsa-miR-3605-5p,47,41,85,16,26,84,57,39,73
hsa-miR-3606-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3606-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3607-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3607-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3609,0,0,0,0,0,0,7,0,0
hsa-miR-3610,0,0,0,0,0,0,0,0,0
hsa-miR-3611,0,0,0,0,1,0,0,0,0
hsa-miR-3612,0,1,0,0,0,0,0,0,0
hsa-miR-3613-3p,0,0,3,1,1,0,1,0,1
hsa-miR-3613-5p,34,26,117,40,69,30,25,41,40
hsa-miR-3614-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3614-5p,8,16,46,3,4,28,24,3,9
hsa-miR-3615,2559,3938,5389,1140,1060,7513,5702,3681,4136
hsa-miR-3616-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3616-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3617-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3617-5p,3,0,0,3,2,0,0,0,0
hsa-miR-3618,0,0,0,0,0,0,0,0,0
hsa-miR-3619-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3619-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3620-3p,3,0,0,0,2,3,0,0,6
hsa-miR-3620-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3621,0,0,0,0,0,0,0,0,0
hsa-miR-3622a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3622a-5p,0,6,2,0,0,0,0,0,0
hsa-miR-3622b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3622b-5p,0,0,0,0,0,0,0,0,1
hsa-miR-3646,0,0,0,0,0,0,0,0,0
hsa-miR-3648,0,0,0,0,0,0,0,0,0
hsa-miR-3649,0,0,0,0,0,0,0,0,0
hsa-miR-3650,0,0,0,0,0,0,0,0,0
hsa-miR-3651,0,0,0,0,0,0,0,0,0
hsa-miR-3652,0,0,0,0,0,0,0,0,0
hsa-miR-3653,1,0,0,3,0,5,0,0,0
hsa-miR-3654,0,0,0,0,0,0,0,0,0
hsa-miR-3655,0,0,0,0,0,0,0,0,0
hsa-miR-3656,0,0,0,0,2,0,0,0,0
hsa-miR-3657,0,0,0,0,0,0,0,0,0
hsa-miR-3658,0,0,0,0,0,0,0,0,0
hsa-miR-3659,0,0,0,0,0,0,0,0,0
hsa-miR-3660,0,0,0,0,0,0,0,0,0
hsa-miR-3661,1,1,0,0,4,4,0,0,0
hsa-miR-3662,0,0,0,0,0,0,0,0,0
hsa-miR-3663-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3663-5p,0,1,0,0,0,0,0,0,0
hsa-miR-3664-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3664-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3665,0,0,0,0,0,0,0,0,0
hsa-miR-3666,0,0,0,0,0,0,0,0,0
hsa-miR-3667-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3667-5p,0,0,0,0,0,7,0,0,0
hsa-miR-3668,0,0,0,0,0,0,0,0,0
hsa-miR-3669,0,0,0,0,0,0,0,0,0
hsa-miR-3670,0,0,0,0,0,0,0,0,0
hsa-miR-3671,0,0,0,0,0,0,0,0,0
hsa-miR-3672,0,0,0,0,0,0,0,0,0
hsa-miR-3673,0,0,0,0,0,0,0,0,0
hsa-miR-3674,0,0,0,0,0,0,0,0,0
hsa-miR-3675-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3675-5p,0,1,0,1,0,0,1,0,0
hsa-miR-3677-3p,3,0,0,3,1,0,4,2,2
hsa-miR-3677-5p,0,0,0,0,1,0,0,0,0
hsa-miR-3678-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3678-5p,0,0,5,0,1,0,3,0,0
hsa-miR-3679-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3679-5p,40,8,37,11,36,19,9,15,12
hsa-miR-3680-3p,1,0,5,0,0,0,5,0,4
hsa-miR-3680-5p,0,0,0,0,1,0,0,0,0
hsa-miR-3681-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3681-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3682-3p,6,15,0,0,1,5,8,3,0
hsa-miR-3682-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3683,0,0,0,0,0,0,0,0,0
hsa-miR-3684,0,0,0,0,4,0,0,0,0
hsa-miR-3685,0,0,0,0,0,0,0,0,3
hsa-miR-3686,0,0,0,0,0,0,0,0,0
hsa-miR-3687,1,0,0,0,0,0,0,0,0
hsa-miR-3688-3p,3,0,3,0,4,8,5,6,2
hsa-miR-3688-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3689a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3689a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3689b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3689b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3689c,0,0,0,0,0,0,0,0,0
hsa-miR-3689d,0,0,0,0,0,0,0,0,0
hsa-miR-3689e,0,0,0,0,0,0,0,0,0
hsa-miR-3689f,0,0,0,0,0,0,0,0,0
hsa-miR-3690,6,11,24,5,1,2,6,2,21
hsa-miR-3691-3p,1,0,0,1,0,0,0,2,0
hsa-miR-3691-5p,15,19,44,6,7,24,12,6,33
hsa-miR-3692-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3692-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3713,0,0,0,0,0,0,0,0,0
hsa-miR-3714,0,0,0,0,0,0,0,0,0
hsa-miR-3907,0,0,0,0,0,0,0,0,0
hsa-miR-3908,0,0,0,0,0,0,0,0,0
